Bandit,Reward,Algorithm
3,5.2337037831977575,ThompsonSamplingBandit
3,4.828379512108634,ThompsonSamplingBandit
3,2.988579237387132,ThompsonSamplingBandit
3,3.1313196198858524,ThompsonSamplingBandit
3,4.473269588616446,ThompsonSamplingBandit
3,4.096499957666124,ThompsonSamplingBandit
3,2.532247000723888,ThompsonSamplingBandit
3,4.651770023890676,ThompsonSamplingBandit
3,4.162637689122636,ThompsonSamplingBandit
3,3.355505694706054,ThompsonSamplingBandit
3,5.72330000668363,ThompsonSamplingBandit
3,3.606207839356214,ThompsonSamplingBandit
3,4.635682851807157,ThompsonSamplingBandit
3,3.8152182832255535,ThompsonSamplingBandit
3,3.808678163405227,ThompsonSamplingBandit
3,2.7769121796451475,ThompsonSamplingBandit
3,2.8321309955171934,ThompsonSamplingBandit
3,4.472859502183767,ThompsonSamplingBandit
3,4.106693156690289,ThompsonSamplingBandit
3,3.9923442929774007,ThompsonSamplingBandit
3,3.383903881689047,ThompsonSamplingBandit
3,3.0945393903929923,ThompsonSamplingBandit
3,4.896861778749542,ThompsonSamplingBandit
3,3.6377709583852673,ThompsonSamplingBandit
3,3.4545351957219337,ThompsonSamplingBandit
3,2.7401673933301502,ThompsonSamplingBandit
3,5.9525137230001,ThompsonSamplingBandit
3,2.8347269689480914,ThompsonSamplingBandit
3,3.818512096260937,ThompsonSamplingBandit
3,4.936342811801246,ThompsonSamplingBandit
3,3.7127592539202148,ThompsonSamplingBandit
3,4.72565412354773,ThompsonSamplingBandit
3,4.1621284479729574,ThompsonSamplingBandit
3,3.472025111905932,ThompsonSamplingBandit
3,4.938273868102659,ThompsonSamplingBandit
3,2.3421046992754233,ThompsonSamplingBandit
3,4.976886428567134,ThompsonSamplingBandit
3,2.828842991135925,ThompsonSamplingBandit
3,3.428902382647841,ThompsonSamplingBandit
3,5.386635243698967,ThompsonSamplingBandit
3,4.978049997560366,ThompsonSamplingBandit
3,2.976196697327773,ThompsonSamplingBandit
3,3.421749818178618,ThompsonSamplingBandit
3,3.6783734554452443,ThompsonSamplingBandit
3,3.50614995057764,ThompsonSamplingBandit
3,3.612286454953358,ThompsonSamplingBandit
3,6.03637811281698,ThompsonSamplingBandit
3,2.5423683807254287,ThompsonSamplingBandit
3,3.619698759204491,ThompsonSamplingBandit
3,3.717837758787292,ThompsonSamplingBandit
3,4.300257209236144,ThompsonSamplingBandit
3,4.0540316007430865,ThompsonSamplingBandit
3,4.772759019565906,ThompsonSamplingBandit
3,4.433084861453088,ThompsonSamplingBandit
3,3.591625772320632,ThompsonSamplingBandit
3,3.75730824778928,ThompsonSamplingBandit
3,4.35712066049788,ThompsonSamplingBandit
3,5.278024521039038,ThompsonSamplingBandit
3,5.619146487292807,ThompsonSamplingBandit
3,3.137149903429073,ThompsonSamplingBandit
3,3.9762053387307112,ThompsonSamplingBandit
3,3.267820118373953,ThompsonSamplingBandit
3,6.629969052771102,ThompsonSamplingBandit
3,3.0363249519300197,ThompsonSamplingBandit
3,4.363371589148981,ThompsonSamplingBandit
3,3.0410819252722314,ThompsonSamplingBandit
3,1.5333092532983414,ThompsonSamplingBandit
3,4.4828232257530445,ThompsonSamplingBandit
3,3.542622269920028,ThompsonSamplingBandit
3,3.872826362436269,ThompsonSamplingBandit
3,2.265603562499031,ThompsonSamplingBandit
3,3.0486617497127932,ThompsonSamplingBandit
3,4.772123222032985,ThompsonSamplingBandit
3,2.6591287485420803,ThompsonSamplingBandit
3,3.0985803336165194,ThompsonSamplingBandit
3,5.158184824795588,ThompsonSamplingBandit
3,4.480557505703748,ThompsonSamplingBandit
3,3.190905483100696,ThompsonSamplingBandit
3,5.4035807241906415,ThompsonSamplingBandit
3,3.974388840458479,ThompsonSamplingBandit
3,4.676531606462277,ThompsonSamplingBandit
3,4.268259952568049,ThompsonSamplingBandit
3,4.968778156637283,ThompsonSamplingBandit
3,2.6578725372629473,ThompsonSamplingBandit
3,4.145302859075524,ThompsonSamplingBandit
3,4.627701253498657,ThompsonSamplingBandit
3,5.157624574183809,ThompsonSamplingBandit
3,2.557728200842285,ThompsonSamplingBandit
3,5.281480324478398,ThompsonSamplingBandit
3,1.5475110553956397,ThompsonSamplingBandit
3,3.5622500387051623,ThompsonSamplingBandit
3,4.031571907878148,ThompsonSamplingBandit
3,4.891514194585544,ThompsonSamplingBandit
3,5.628098912256514,ThompsonSamplingBandit
3,4.773690987825338,ThompsonSamplingBandit
3,2.7873198278662508,ThompsonSamplingBandit
3,4.024807356718467,ThompsonSamplingBandit
3,3.608190948312851,ThompsonSamplingBandit
3,4.088655275301858,ThompsonSamplingBandit
3,4.6233704645282625,ThompsonSamplingBandit
3,5.064418801850589,ThompsonSamplingBandit
3,4.2235160895290855,ThompsonSamplingBandit
3,3.9530464583428135,ThompsonSamplingBandit
3,3.1136523582396602,ThompsonSamplingBandit
3,3.6063948423941232,ThompsonSamplingBandit
3,3.578693579311061,ThompsonSamplingBandit
3,4.448732981893675,ThompsonSamplingBandit
3,4.422665522139245,ThompsonSamplingBandit
3,4.415941060224969,ThompsonSamplingBandit
3,4.635373274934055,ThompsonSamplingBandit
3,4.657497107337045,ThompsonSamplingBandit
3,3.056179276668057,ThompsonSamplingBandit
3,4.775198684261589,ThompsonSamplingBandit
3,3.184812127426504,ThompsonSamplingBandit
3,3.7312825588898573,ThompsonSamplingBandit
3,4.22128463324529,ThompsonSamplingBandit
3,0.7512144285735678,ThompsonSamplingBandit
3,4.832346059235867,ThompsonSamplingBandit
3,5.399196127538006,ThompsonSamplingBandit
3,3.2888005152868325,ThompsonSamplingBandit
3,4.707554057308488,ThompsonSamplingBandit
3,4.024909103081502,ThompsonSamplingBandit
3,3.2116137171277255,ThompsonSamplingBandit
3,4.180134080306892,ThompsonSamplingBandit
3,4.3024875816931365,ThompsonSamplingBandit
3,4.234613656144916,ThompsonSamplingBandit
3,4.765152802267787,ThompsonSamplingBandit
3,3.392476513839507,ThompsonSamplingBandit
3,2.392064621895128,ThompsonSamplingBandit
3,4.24922222699965,ThompsonSamplingBandit
3,5.828170269110716,ThompsonSamplingBandit
